P0:0.0F,P1:0.0F
P0:-0.6767719568873076F,P1:-0.6767719568873076F
P0:-0.9851462604682474F,P1:-0.9851462604682474F
P0:-0.38778163540943045F,P1:-0.38778163540943045F
P0:0.5661076368981803F,P1:0.5661076368981803F
P0:0.9995201585807313F,P1:0.9995201585807313F
P0:0.5139784559875352F,P1:0.5139784559875352F
P0:-0.4441126687075084F,P1:-0.4441126687075084F
P0:-0.9938886539233752F,P1:-0.9938886539233752F
P0:-0.6298879942744539F,P1:-0.6298879942744539F
P0:0.31322878243308516F,P1:0.31322878243308516F
P0:0.9683644611001854F,P1:0.9683644611001854F
P0:0.7331903200732922F,P1:0.7331903200732922F
P0:-0.1760756199485871F,P1:-0.1760756199485871F
P0:-0.9234584470040598F,P1:-0.9234584470040598F
P0:-0.8218178366308225F,P1:-0.8218178366308225F
P0:0.03539830273366068F,P1:0.03539830273366068F
P0:0.8600694058124533F,P1:0.8600694058124533F
P0:0.8939966636005579F,P1:0.8939966636005579F
P0:0.10598751175115685F,P1:0.10598751175115685F
P0:-0.7794660696158047F,P1:-0.7794660696158047F
P0:-0.9482821412699473F,P1:-0.9482821412699473F
P0:-0.24525198546765434F,P1:-0.24525198546765434F
P0:0.683261714736121F,P1:0.683261714736121F
P0:0.9835877454343449F,P1:0.9835877454343449F
P0:0.3796077390275217F,P1:0.3796077390275217F
P0:-0.5733818719904229F,P1:-0.5733818719904229F
P0:-0.9992068341863537F,P1:-0.9992068341863537F
P0:-0.5063656411097588F,P1:-0.5063656411097588F
P0:0.45202578717835057F,P1:0.45202578717835057F
P0:0.9948267913584063F,P1:0.9948267913584063F
P0:0.6229886314423488F,P1:0.6229886314423488F
P0:-0.32162240316253093F,P1:-0.32162240316253093F
P0:-0.9705352835374847F,P1:-0.9705352835374847F
P0:-0.7271425000808526F,P1:-0.7271425000808526F
P0:0.18478174456066745F,P1:0.18478174456066745F
P0:0.926818505417785F,P1:0.926818505417785F
P0:0.8167426066363169F,P1:0.8167426066363169F
P0:-0.044242678085070965F,P1:-0.044242678085070965F
P0:-0.8645514486106083F,P1:-0.8645514486106083F
P0:-0.8899956043668333F,P1:-0.8899956043668333F
P0:-0.09718190589320902F,P1:-0.09718190589320902F
P0:0.7849803886813105F,P1:0.7849803886813105F
P0:0.9454353340247703F,P1:0.9454353340247703F
P0:0.23666139336428604F,P1:0.23666139336428604F
P0:-0.689697940935389F,P1:-0.689697940935389F
P0:-0.9819521690440836F,P1:-0.9819521690440836F
P0:-0.3714041014380902F,P1:-0.3714041014380902F
P0:0.5806111842123143F,P1:0.5806111842123143F
P0:0.9988152247235795F,P1:0.9988152247235795F
P0:0.4987131538963941F,P1:0.4987131538963941F
P0:-0.45990349068959124F,P1:-0.45990349068959124F
P0:-0.9956869868891794F,P1:-0.9956869868891794F
P0:-0.6160404591886565F,P1:-0.6160404591886565F
P0:0.329990825673782F,P1:0.329990825673782F
P0:0.972630067242408F,P1:0.972630067242408F
P0:0.7210377105017316F,P1:0.7210377105017316F
P0:-0.19347339203846847F,P1:-0.19347339203846847F
P0:-0.9301059501867618F,P1:-0.9301059501867618F
P0:-0.8116033871367004F,P1:-0.8116033871367004F
P0:0.05308358714605824F,P1:0.05308358714605824F
P0:0.8689657562142357F,P1:0.8689657562142357F
P0:0.8859248164599484F,P1:0.8859248164599484F
P0:0.08836868610400143F,P1:0.08836868610400143F
P0:-0.7904332067228887F,P1:-0.7904332067228887F
P0:-0.9425144545582509F,P1:-0.9425144545582509F
P0:-0.2280522595008612F,P1:-0.2280522595008612F
P0:0.6960801312247415F,P1:0.6960801312247415F
P0:0.9802396594403116F,P1:0.9802396594403116F
P0:0.363171365373259F,P1:0.363171365373259F
P0:-0.5877950071674065F,P1:-0.5877950071674065F
P0:-0.9983453608739179F,P1:-0.9983453608739179F
P0:-0.49102159389846933F,P1:-0.49102159389846933F
P0:0.4677451620451334F,P1:0.4677451620451334F
P0:0.9964691731217737F,P1:0.9964691731217737F
P0:0.6090440218832924F,P1:0.6090440218832924F
P0:-0.3383333943242765F,P1:-0.3383333943242765F
P0:-0.9746486480944947F,P1:-0.9746486480944947F
P0:-0.7148764296291646F,P1:-0.7148764296291646F
P0:0.20214988141565363F,P1:0.20214988141565363F
P0:0.933320523748862F,P1:0.933320523748862F
P0:0.8064005807754863F,P1:0.8064005807754863F
P0:-0.06192033725605731F,P1:-0.06192033725605731F
P0:-0.8733119827746476F,P1:-0.8733119827746476F
P0:-0.8817846188147811F,P1:-0.8817846188147811F
P0:-0.0795485428747221F,P1:-0.0795485428747221F
P0:0.7958240965274552F,P1:0.7958240965274552F
P0:0.9395197317131483F,P1:0.9395197317131483F
P0:0.21942525837900473F,P1:0.21942525837900473F
P0:-0.702407785577371F,P1:-0.702407785577371F
P0:-0.9784503507933796F,P1:-0.9784503507933796F
P0:-0.35491017584493534F,P1:-0.35491017584493534F
P0:0.5949327780232085F,P1:0.5949327780232085F
P0:0.9977972794498907F,P1:0.9977972794498907F
P0:0.48329156372825655F,P1:0.48329156372825655F
P0:-0.47555018687189876F,P1:-0.47555018687189876F
P0:-0.9971732887740798F,P1:-0.9971732887740798F
P0:-0.6019998676776046F,P1:-0.6019998676776046F
P0:0.3466494554970303F,P1:0.3466494554970303F
P0:0.9765908679435658F,P1:0.9765908679435658F
P0:0.7086591401823227F,P1:0.7086591401823227F
P0:-0.2108105329134813F,P1:-0.2108105329134813F
P0:-0.9364619742512132F,P1:-0.9364619742512132F
P0:-0.8011345951780408F,P1:-0.8011345951780408F
P0:0.07075223608034517F,P1:0.07075223608034517F
P0:0.8775897877771157F,P1:0.8775897877771157F
P0:0.8775753358042688F,P1:0.8775753358042688F
P0:0.07072216723899125F,P1:0.07072216723899125F
P0:-0.8011526357338304F,P1:-0.8011526357338304F
P0:-0.936451400117644F,P1:-0.936451400117644F
P0:-0.21078106590019152F,P1:-0.21078106590019152F
P0:0.7086804082392084F,P1:0.7086804082392084F
P0:0.9765843832906294F,P1:0.9765843832906294F
P0:0.346621180094276F,P1:0.346621180094276F
P0:-0.6020239375552833F,P1:-0.6020239375552833F
P0:-0.997171023392149F,P1:-0.997171023392149F
P0:-0.47552366901205834F,P1:-0.47552366901205834F
P0:0.48331795366796265F,P1:0.48331795366796265F
P0:0.9977992786806003F,P1:0.9977992786806003F
P0:0.594908548461427F,P1:0.594908548461427F
P0:-0.3549383576518463F,P1:-0.3549383576518463F
P0:-0.9784565746221131F,P1:-0.9784565746221131F
P0:-0.7023863292684921F,P1:-0.7023863292684921F
P0:0.21945466799406363F,P1:0.21945466799406363F
P0:0.9395300555699313F,P1:0.9395300555699313F
P0:0.7958058429196471F,P1:0.7958058429196471F
P0:-0.07957859166428352F,P1:-0.07957859166428352F
P0:-0.8817988360675502F,P1:-0.8817988360675502F
P0:-0.8732972972139946F,P1:-0.8732972972139946F
P0:-0.06189025071872073F,P1:-0.06189025071872073F
P0:0.8064184068658303F,P1:0.8064184068658303F
P0:0.9333097001669604F,P1:0.9333097001669604F
P0:0.2021203593127912F,P1:0.2021203593127912F
P0:-0.7148975077677643F,P1:-0.7148975077677643F
P0:-0.97464190312541F,P1:-0.97464190312541F
P0:-0.3383050275409778F,P1:-0.3383050275409778F
P0:0.6090679301910603F,P1:0.6090679301910603F
P0:0.9964666417661079F,P1:0.9964666417661079F
P0:0.46771851834275896F,P1:0.46771851834275896F
P0:-0.491047853850463F,P1:-0.491047853850463F
P0:-0.9983470937967718F,P1:-0.9983470937967718F
P0:-0.5877706198198406F,P1:-0.5877706198198406F
P0:0.36319945137636067F,P1:0.36319945137636067F
P0:0.9802456219572225F,P1:0.9802456219572225F
P0:0.6960584883449115F,P1:0.6960584883449115F
P0:-0.22808160941352784F,P1:-0.22808160941352784F
P0:-0.9425245273294025F,P1:-0.9425245273294025F
P0:-0.7904147414931815F,P1:-0.7904147414931815F
P0:0.08839871248753149F,P1:0.08839871248753149F
P0:0.8859387978787574F,P1:0.8859387978787574F
P0:0.8689508382163493F,P1:0.8689508382163493F
P0:0.05305348526993529F,P1:0.05305348526993529F
P0:-0.8116209973649744F,P1:-0.8116209973649744F
P0:-0.9300948780045254F,P1:-0.9300948780045254F
P0:-0.19344381715900788F,P1:-0.19344381715900788F
P0:0.7210585970706318F,P1:0.7210585970706318F
P0:0.9726230624856244F,P1:0.9726230624856244F
P0:0.3299623697323973F,P1:0.3299623697323973F
P0:-0.6160642040533645F,P1:-0.6160642040533645F
P0:-0.9956841897581032F,P1:-0.9956841897581032F
P0:-0.4598767232321427F,P1:-0.4598767232321427F
P0:0.49873928180328125F,P1:0.49873928180328125F
P0:0.9988166912028082F,P1:0.9988166912028082F
P0:0.5805866409896447F,P1:0.5805866409896447F
P0:-0.37143208943692263F,P1:-0.37143208943692263F
P0:-0.9819578697820255F,P1:-0.9819578697820255F
P0:-0.6896761131802671F,P1:-0.6896761131802671F
P0:0.2366906812750767F,P1:0.2366906812750767F
P0:0.9454451549211168F,P1:0.9454451549211168F
P0:0.7849617132764033F,P1:0.7849617132764033F
P0:-0.09721190751822432F,P1:-0.09721190751822432F
P0:-0.8900093488562771F,P1:-0.8900093488562771F
P0:-0.8645362993442719F,P1:-0.8645362993442719F
P0:-0.04421256322855966F,P1:-0.04421256322855966F
P0:0.8167599996228085F,P1:0.8167599996228085F
P0:0.9268071855026884F,P1:0.9268071855026884F
P0:0.184752119221718F,P1:0.184752119221718F
P0:-0.727163193443649F,P1:-0.727163193443649F
P0:-0.9705280195418053F,P1:-0.9705280195418053F
P0:-0.3215938602925038F,P1:-0.3215938602925038F
P0:0.623012211003653F,P1:0.623012211003653F
P0:0.9948237286710673F,P1:0.9948237286710673F
P0:0.45199889806298343F,P1:0.45199889806298343F
P0:-0.5063916349244909F,P1:-0.5063916349244909F
P0:-0.9992080341070627F,P1:-0.9992080341070627F
P0:-0.5733571748155426F,P1:-0.5733571748155426F
P0:0.37963562682930313F,P1:0.37963562682930313F
P0:0.9835931839466808F,P1:0.9835931839466808F
P0:0.6832397038158508F,P1:0.6832397038158508F
P0:-0.24528120908194284F,P1:-0.24528120908194284F
P0:-0.9482917095220488F,P1:-0.9482917095220488F
P0:-0.7794471854988634F,P1:-0.7794471854988634F
P0:0.10601748626711377F,P1:0.10601748626711377F
P0:0.8940101700837942F,P1:0.8940101700837942F
P0:0.8600540264645697F,P1:0.8600540264645697F
P0:0.035368177256176046F,P1:0.035368177256176046F
P0:-0.8218350110128397F,P1:-0.8218350110128397F
P0:-0.9234468802429867F,P1:-0.9234468802429867F
P0:-0.1760459464712114F,P1:-0.1760459464712114F
P0:0.7332108186087175F,P1:0.7332108186087175F
P0:0.9683569384347241F,P1:0.9683569384347241F
P0:0.3132001548706699F,P1:0.3132001548706699F
P0:-0.6299114066849614F,P1:-0.6299114066849614F
P0:-0.9938853259197261F,P1:-0.9938853259197261F
P0:-0.4440856600409099F,P1:-0.4440856600409099F
P0:0.5140043136735694F,P1:0.5140043136735694F
P0:0.99952109184891F,P1:0.99952109184891F
P0:0.5660827877060441F,P1:0.5660827877060441F
P0:-0.3878094208292295F,P1:-0.3878094208292295F
P0:-0.9851514363288851F,P1:-0.9851514363288851F
P0:-0.6767497645263835F,P1:-0.6767497645263835F
P0:0.253852519790234F,P1:0.253852519790234F
P0:0.9510639681125854F,P1:0.9510639681125854F
P0:0.7738715902084317F,P1:0.7738715902084317F
P0:-0.11481475884166603F,P1:-0.11481475884166603F
P0:-0.8979409481081247F,P1:-0.8979409481081247F
P0:-0.8555043707508208F,P1:-0.8555043707508208F
P0:-0.026521020285755953F,P1:-0.026521020285755953F
P0:0.8268456339220814F,P1:0.8268456339220814F
P0:0.9200142254959646F,P1:0.9200142254959646F
P0:0.16732598101183924F,P1:0.16732598101183924F
P0:-0.739200998751274F,P1:-0.739200998751274F
P0:-0.9661099892625297F,P1:-0.9661099892625297F
P0:-0.30478191109030295F,P1:-0.30478191109030295F
P0:0.6367612505645516F,P1:0.6367612505645516F
P0:0.992869055025318F,P1:0.992869055025318F
P0:0.43613762914604876F,P1:0.43613762914604876F
P0:-0.5215767216183704F,P1:-0.5215767216183704F
P0:-0.9997558399011495F,P1:-0.9997558399011495F
P0:-0.5587640495890891F,P1:-0.5587640495890891F
P0:0.39595283104274065F,P1:0.39595283104274065F
P0:0.9866325048439105F,P1:0.9866325048439105F
P0:0.6702068037805061F,P1:0.6702068037805061F
P0:-0.2624039418616639F,P1:-0.2624039418616639F
P0:-0.9537617134939987F,P1:-0.9537617134939987F
P0:-0.7682353642374472F,P1:-0.7682353642374472F
P0:0.12360303600011291F,P1:0.12360303600011291F
P0:0.9018013749637745F,P1:0.9018013749637745F
P0:0.8508876886558596F,P1:0.8508876886558596F
P0:0.01767178546737087F,P1:0.01767178546737087F
P0:-0.8317914757822045F,P1:-0.8317914757822045F
P0:-0.9165094902005468F,P1:-0.9165094902005468F
P0:-0.15859290602857282F,P1:-0.15859290602857282F
P0:0.7451332645574127F,P1:0.7451332645574127F
P0:0.9637873480674221F,P1:0.9637873480674221F
P0:0.2963397884973224F,P1:0.2963397884973224F
P0:-0.6435612059762619F,P1:-0.6435612059762619F
P0:-0.9917749956098326F,P1:-0.9917749956098326F
P0:-0.42815542808445156F,P1:-0.42815542808445156F
P0:0.5291082654818533F,P1:0.5291082654818533F
P0:0.9999122598719259F,P1:0.9999122598719259F
P0:0.551401533867395F,P1:0.551401533867395F
P0:-0.4040652194563607F,P1:-0.4040652194563607F
P0:-0.9880362734541701F,P1:-0.9880362734541701F
P0:-0.6636113342009432F,P1:-0.6636113342009432F
P0:0.2709348053161655F,P1:0.2709348053161655F
P0:0.9563847343054627F,P1:0.9563847343054627F
P0:0.7625389491684939F,P1:0.7625389491684939F
P0:-0.13238162920545193F,P1:-0.13238162920545193F
P0:-0.9055911481970673F,P1:-0.9055911481970673F
P0:-0.8462043418838514F,P1:-0.8462043418838514F
P0:-0.008821166113885877F,P1:-0.008821166113885877F
P0:0.8366721491002946F,P1:0.8366721491002946F
P0:0.9129329489429682F,P1:0.9129329489429682F
P0:0.14984740573347818F,P1:0.14984740573347818F
P0:-0.7510071512506543F,P1:-0.7510071512506543F
P0:-0.9613891968218607F,P1:-0.9613891968218607F
P0:-0.2878744485084861F,P1:-0.2878744485084861F
P0:0.6503107401625525F,P1:0.6503107401625525F
P0:0.9906032333897737F,P1:0.9906032333897737F
P0:0.4201396822393068F,P1:0.4201396822393068F
P0:-0.5365983551885637F,P1:-0.5365983551885637F
P0:-0.9999903395061709F,P1:-0.9999903395061709F
P0:-0.5439958173735323F,P1:-0.5439958173735323F
P0:0.412145950487085F,P1:0.412145950487085F
P0:0.9893626321783087F,P1:0.9893626321783087F
P0:0.6569638725243397F,P1:0.6569638725243397F
P0:-0.27944444178438205F,P1:-0.27944444178438205F
P0:-0.9589328250406132F,P1:-0.9589328250406132F
P0:-0.7567827912998033F,P1:-0.7567827912998033F
P0:0.14114985067939137F,P1:0.14114985067939137F
P0:0.9093099708898409F,P1:0.9093099708898409F
P0:0.8414546973619527F,P1:0.8414546973619527F
P0:-3.014435335948845E-5F,P1:-3.014435335948845E-5F
P0:-0.8414872714892108F,P1:-0.8414872714892108F
P0:-0.9092848819352602F,P1:-0.9092848819352602F
P0:-0.14109016531210986F,P1:-0.14109016531210986F
P0:0.7568221986283603F,P1:0.7568221986283603F
P0:0.9589157234143065F,P1:0.9589157234143065F
P0:0.2793865543595699F,P1:0.2793865543595699F
P0:-0.6570093243162466F,P1:-0.6570093243162466F
P0:-0.9893538601694428F,P1:-0.9893538601694428F
P0:-0.41209101962194344F,P1:-0.41209101962194344F
P0:0.5440464039108651F,P1:0.5440464039108651F
P0:0.9999900726865629F,P1:0.9999900726865629F
P0:0.5365474803247321F,P1:0.5365474803247321F
P0:-0.42019439103217676F,P1:-0.42019439103217676F
P0:-0.9906114770998198F,P1:-0.9906114770998198F
P0:-0.6502649395607762F,P1:-0.6502649395607762F
P0:0.28793218456003195F,P1:0.28793218456003195F
P0:0.9614057860636483F,P1:0.9614057860636483F
P0:0.7509673416102893F,P1:0.7509673416102893F
P0:-0.14990701345623575F,P1:-0.14990701345623575F
P0:-0.9129575516827102F,P1:-0.9129575516827102F
P0:-0.8366391272115635F,P1:-0.8366391272115635F
P0:0.00888145245887885F,P1:0.00888145245887885F
P0:0.8462364656975445F,P1:0.8462364656975445F
P0:0.9055655749932976F,P1:0.9055655749932976F
P0:0.13232187086982847F,P1:0.13232187086982847F
P0:-0.7625779510977885F,P1:-0.7625779510977885F
P0:-0.9563671216345017F,P1:-0.9563671216345017F
P0:-0.27087677105340535F,P1:-0.27087677105340535F
P0:0.6636564336219596F,P1:0.6636564336219596F
P0:0.9880269738337468F,P1:0.9880269738337468F
P0:0.4040100708226276F,P1:0.4040100708226276F
P0:-0.5514518281149147F,P1:-0.5514518281149147F
P0:-0.9999114594340064F,P1:-0.9999114594340064F
P0:-0.5290571062774264F,P1:-0.5290571062774264F
P0:0.42820991051876856F,P1:0.42820991051876856F
P0:0.9917827103751873F,P1:0.9917827103751873F
P0:0.6435150601529656F,P1:0.6435150601529656F
P0:-0.2963973686521434F,P1:-0.2963973686521434F
P0:-0.9638034236249698F,P1:-0.9638034236249698F
P0:-0.745093055724214F,P1:-0.745093055724214F
P0:0.15865243143670757F,P1:0.15865243143670757F
P0:0.916533604797894F,P1:0.916533604797894F
P0:0.8317580087191733F,P1:0.8317580087191733F
P0:-0.017732064727370864F,P1:-0.017732064727370864F
P0:-0.8509193596391765F,P1:-0.8509193596391765F
P0:-0.9017753195144049F,P1:-0.9017753195144049F
P0:-0.12354320937804643F,P1:-0.12354320937804643F
P0:0.7682739577117872F,P1:0.7682739577117872F
P0:0.953743591158287F,P1:0.953743591158287F
P0:0.26234576530777837F,P1:0.26234576530777837F
P0:-0.6702515472972181F,P1:-0.6702515472972181F
P0:-0.9866226783405293F,P1:-0.9866226783405293F
P0:-0.39589746896115763F,P1:-0.39589746896115763F
P0:0.5588140476063818F,P1:0.5588140476063818F
P0:0.9997545059076306F,P1:0.9997545059076306F
P0:0.5215252820815293F,P1:0.5215252820815293F
P0:-0.43619188095326605F,P1:-0.43619188095326605F
P0:-0.9928762402415507F,P1:-0.9928762402415507F
P0:-0.6367147631351318F,P1:-0.6367147631351318F
P0:0.30483933083715453F,P1:0.30483933083715453F
P0:0.9661255498763623F,P1:0.9661255498763623F
P0:0.7391603938754915F,P1:0.7391603938754915F
P0:-0.1673854194417015F,P1:-0.1673854194417015F
P0:-0.9200378500616057F,P1:-0.9200378500616057F
P0:-0.8268117243068012F,P1:-0.8268117243068012F
P0:0.02658128773805108F,P1:0.02658128773805108F
P0:0.8555355864224282F,P1:0.8555355864224282F
P0:0.8979144124545271F,P1:0.8979144124545271F
P0:0.1147548686204055F,P1:0.1147548686204055F
P0:-0.773909772204126F,P1:-0.773909772204126F
P0:-0.9510453375319575F,P1:-0.9510453375319575F
P0:-0.2537942055031938F,P1:-0.2537942055031938F
P0:0.6767941486332613F,P1:0.6767941486332613F
P0:0.9851410837124249F,P1:0.9851410837124249F
P0:0.38775384963726117F,P1:0.38775384963726117F
P0:-0.5661324855759046F,P1:-0.5661324855759046F
P0:-0.9995192244043064F,P1:-0.9995192244043064F
P0:-0.5139525978344581F,P1:-0.5139525978344581F
P0:0.4441396769705497F,P1:0.4441396769705497F
P0:0.9938919810238954F,P1:0.9938919810238954F
P0:0.6298645812915785F,P1:0.6298645812915785F
P0:-0.31325740971087507F,P1:-0.31325740971087507F
P0:-0.9683719828857112F,P1:-0.9683719828857112F
P0:-0.73316982087163F,P1:-0.73316982087163F
P0:0.176105293265966F,P1:0.176105293265966F
P0:0.9234700129260028F,P1:0.9234700129260028F
P0:0.8218006615020342F,P1:0.8218006615020342F
P0:-0.035428428178979524F,P1:-0.035428428178979524F
P0:-0.8600847843788071F,P1:-0.8600847843788071F
P0:-0.8939831563049628F,P1:-0.8939831563049628F
P0:-0.10595753713889097F,P1:-0.10595753713889097F
P0:0.7794849530244592F,P1:0.7794849530244592F
P0:0.9482725721561587F,P1:0.9482725721561587F
P0:0.2452227616305097F,P1:0.2452227616305097F
P0:-0.6832837250355236F,P1:-0.6832837250355236F
P0:-0.9835823060282404F,P1:-0.9835823060282404F
P0:-0.3795798508807975F,P1:-0.3795798508807975F
P0:0.5734065686442813F,P1:0.5734065686442813F
P0:0.9992056333576834F,P1:0.9992056333576834F
P0:0.5063396468349013F,P1:0.5063396468349013F
P0:-0.45205267588297F,P1:-0.45205267588297F
P0:-0.9948298531417643F,P1:-0.9948298531417643F
P0:-0.6229650513149461F,P1:-0.6229650513149461F
P0:0.32165094574030556F,P1:0.32165094574030556F
P0:0.970542546651256F,P1:0.970542546651256F
P0:0.7271218060573149F,P1:0.7271218060573149F
P0:-0.18481136973170906F,P1:-0.18481136973170906F
P0:-0.9268298244906983F,P1:-0.9268298244906983F
P0:-0.816725212907666F,P1:-0.816725212907666F
P0:0.04427279290137974F,P1:0.04427279290137974F
P0:0.8645665970913422F,P1:0.8645665970913422F
P0:0.8899818590686664F,P1:0.8899818590686664F
P0:0.09715190417988626F,P1:0.09715190417988626F
P0:-0.7849990633729202F,P1:-0.7849990633729202F
P0:-0.9454255122693237F,P1:-0.9454255122693237F
P0:-0.2366321052384454F,P1:-0.2366321052384454F
P0:0.689719768063795F,P1:0.689719768063795F
P0:0.9819464674138593F,P1:0.9819464674138593F
P0:0.3713761131017696F,P1:0.3713761131017696F
P0:-0.580635726907393F,P1:-0.580635726907393F
P0:-0.9988137573367454F,P1:-0.9988137573367454F
P0:-0.4986870255363352F,P1:-0.4986870255363352F
P0:0.45993025772913376F,P1:0.45993025772913376F
P0:0.9956897831154927F,P1:0.9956897831154927F
P0:0.6160167137641636F,P1:0.6160167137641636F
P0:-0.33001928131531005F,P1:-0.33001928131531005F
P0:-0.9726370711153801F,P1:-0.9726370711153801F
P0:-0.7210168232776373F,P1:-0.7210168232776373F
P0:0.19350296674212325F,P1:0.19350296674212325F
P0:0.9301170215238276F,P1:0.9301170215238276F
P0:0.8115857761709371F,P1:0.8115857761709371F
P0:-0.0531136889739451F,P1:-0.0531136889739451F
P0:-0.8689806734225085F,P1:-0.8689806734225085F
P0:-0.8859108342361154F,P1:-0.8859108342361154F
P0:-0.08833865964017233F,P1:-0.08833865964017233F
P0:0.7904516712343437F,P1:0.7904516712343437F
P0:0.9425043809306535F,P1:0.9425043809306535F
P0:0.22802290938096753F,P1:0.22802290938096753F
P0:-0.6961017734720562F,P1:-0.6961017734720562F
P0:-0.9802336960326743F,P1:-0.9802336960326743F
P0:-0.36314327904015004F,P1:-0.36314327904015004F
P0:0.5878193939808536F,P1:0.5878193939808536F
P0:0.9983436270438855F,P1:0.9983436270438855F
P0:0.4909953335002932F,P1:0.4909953335002932F
